Mes;Origen;Clasificación;Mercancia;Pais de Procedencia;Kilos;Valor US$
Junio;Porcino;Cárnico;Pierna;Estados Unidos;1439452.64;3992706.32
Junio;Porcino;Cárnico;Tocino o Tocineta;Estados Unidos;122628.01;697991.73
Junio;Porcino;Cárnico;Tripas;Estados Unidos;10600;112000
junio;Porcino;Cárnico;Tripas Naturales;Estados Unidos;2160;32184
Abril;Pavo;Cárnico;Entero;Estados Unidos;50315.47;245465.61
Abril;Pavo;Cárnico;MDM, MSC, Pasta o Pulpa;Brasil;26985;13427.74
Abril;Pavo;Cárnico;MDM, MSC, Pasta o Pulpa;Estados Unidos;26535.42;17412.54
Abril;Pavo;Cárnico;Mortadela;España;21851.8;55509.54
Abril;Pavo;Cárnico;Muslos;Estados Unidos;19849.4;150259.95
Mayo;Pavo;Cárnico;Carne Molida;Estados Unidos;18143.87;84310
Mayo;Pavo;Cárnico;Cortes;Estados Unidos;2800;11200
Mayo;Pavo;Cárnico;Entero;Estados Unidos;69850.66;301021.31
Mayo;Pavo;Cárnico;MDM, MSC, Pasta o Pulpa;Brasil;54735.38;28107.44
Mayo;Pavo;Cárnico;MDM, MSC, Pasta o Pulpa;Estados Unidos;26308.63;23200
Mayo;Pavo;Cárnico;Muslos;Estados Unidos;24549.81;119711.85
Mayo;Pavo;Cárnico;Pechuga;Estados Unidos;146.94;1290.32
Junio;Pavo;Cárnico;Alas;Estados Unidos;21419.99;68472.67
junio;Pavo;Cárnico;Entero;Estados Unidos;44143.81;193749.04
Junio;Pavo;Cárnico;Jamon;Estados Unidos;18415.94;139013.13
junio;Pavo;Cárnico;Mortadela;Estados Unidos;23;731.86
junio;Pavo;Cárnico;Muslos;Estados Unidos;89113.65;449162.2
junio;Pavo;Cárnico;Pechuga;Estados Unidos;105750.8;1036641.48
junio;Pavo;Cárnico;Tocino o Tocineta;Estados Unidos;5126.53;44093.95
Abril;Ovino;Cárnico;Pierna;Estados Unidos;24682.53906;100209.5625
Abril;Ovino;Cárnico;Pierna;Estados Unidos;48631.26953;116459.6914
Abril;Ovino;Cárnico;Pierna;Estados Unidos;24484;61534.28906
Abril;Ovino;Cárnico;Pierna;Estados Unidos;24495.58984;84784.71094
Abril;Ovino;Cárnico;Pierna;Estados Unidos;24436.7793;72391.8125
Abril;Ovino;Cárnico;Pierna;Estados Unidos;25434.2207;60331.58984
Abril;Ovino;Cárnico;Pierna;Estados Unidos;25344.4707;64783
Abril;Ovino;Cárnico;Pierna;Estados Unidos;24572.61914;65549.09375
Mayo;Ovino;Cárnico;Pierna;Estados Unidos;22299.41016;57027.10938
Mayo;Ovino;Cárnico;Carne de carnero o cordero;Estados Unidos;3000;15000
Mayo;Ovino;Cárnico;Pierna;Estados Unidos;24985.71094;58194.21875
Mayo;Ovino;Cárnico;Pierna;Estados Unidos;99740.42969;272746.6328
Mayo;Ovino;Cárnico;Pierna;Estados Unidos;22671.50977;51686.51172
Mayo;Ovino;Cárnico;Pierna;Estados Unidos;49742.83984;116855.3203
Mayo;Ovino;Cárnico;Pierna;Estados Unidos;73320.45117;160056.7617
Mayo;Ovino;Cárnico;Carne de carnero o cordero;Estados Unidos;3600;59040
Mayo;Ovino;Cárnico;Pierna;Estados Unidos;22698.53906;59048.62109
junio;Ovino;Cárnico;Pierna;Estados Unidos;25241.36914;54854.55078
junio;Ovino;Cárnico;Pierna;Estados Unidos;24068.98047;52427.05078
junio;Ovino;Cárnico;Pierna;Estados Unidos;22672.64063;58981.23828
junio;Ovino;Cárnico;Carne de carnero o cordero;Estados Unidos;25000;125000
junio;Ovino;Cárnico;Pierna;Estados Unidos;24494.18945;49733
junio;Ovino;Cárnico;Carne de carnero o cordero;Estados Unidos;3500;113755.2031
Abril;Bovino;Piel Animal;Curtidas o curadas;Argentina;5250;52749.94
Abril;Bovino;Piel Animal;Curtidas o curadas;Brasil;5407;90163.81
Abril;Bovino;Piel Animal;Curtidas o curadas;Estados Unidos;7003.86;120832.62
Abril;Bovino;Piel Animal;Curtidas o curadas;Francia;532;40876.81
Abril;Bovino;Piel Animal;Curtidas o curadas;Italia;126026;716574.65
Abril;Bovino;Piel Animal;Curtidas o curadas;Vietnam;2446.2;40481.43
Abril;Bovino;Piel Animal;Pieles procesadas;Brasil;20687;24773.29
Abril;Bovino;Piel Animal;Pieles procesadas;Italia;4020;168388.17
Abril;Bovino;Piel Animal;Pieles procesadas;Tailandia;496.2;16636.29
Abril;Bovino;Piel Animal;Pieles procesadas;Vietnam;1898.2;46526.32
Abril;Bovino;Piel Animal;Pieles Semiprocesadas;Estados Unidos;48716;101892.67
Abril;Bovino;Piel Animal;Pieles Semiprocesadas;Turquia;44685;241744.16
Mayo;Bovino;Piel Animal;Curtidas o curadas;Alemania;286;13111.23
Mayo;Bovino;Piel Animal;Curtidas o curadas;Brasil;5426.48;72021.91
Mayo;Bovino;Piel Animal;Curtidas o curadas;España;49656.35;38235.39
Mayo;Bovino;Piel Animal;Curtidas o curadas;Estados Unidos;3213.54;22879.78
Mayo;Bovino;Piel Animal;Curtidas o curadas;Francia;446;33621.09
Mayo;Bovino;Piel Animal;Curtidas o curadas;Italia;136424.45;846583.48
Mayo;Bovino;Piel Animal;Curtidas o curadas;Mexico;1810;48020.38
Mayo;Bovino;Piel Animal;Curtidas o curadas;Polonia;2166;148293.85
Mayo;Bovino;Piel Animal;Curtidas o curadas;Reino Unido;239;14113.69
Mayo;Bovino;Piel Animal;Piel Bovina terminada;Italia;2277;68365.53
Mayo;Bovino;Piel Animal;Pieles procesadas;Brasil;78970;90301.54
Mayo;Bovino;Piel Animal;Pieles procesadas;Ecuador;14557;150555.41
Mayo;Bovino;Piel Animal;Pieles Semiprocesadas;Estados Unidos;46075;83941
Mayo;Bovino;Piel Animal;Curtidas o Curadas de Bufalo;India;6800;16320
junio;Bovino;Piel Animal;Curtidas o curadas;Alemania;942;40788.98
junio;Bovino;Piel Animal;Curtidas o curadas;Brasil;892;1235.06
junio;Bovino;Piel Animal;Curtidas o curadas;Estados Unidos;12596.26;271286.91
junio;Bovino;Piel Animal;Curtidas o curadas;Italia;156332.99;1047811.75
junio;Bovino;Piel Animal;Curtidas o curadas;Mexico;23763.9;103930.8
junio;Bovino;Piel Animal;Curtidas o curadas;Reino Unido;407;12541.42
Junio;Bovino;Piel Animal;Curtidas o Curadas;Turquia;23390;91524.46
junio;Bovino;Piel Animal;Curtidas o curadas;Vietnam;2434;31654.25
Junio;Bovino;Piel Animal;Pieles procesadas;Brasil;48480;61756.68
Junio;Bovino;Piel Animal;Pieles procesadas;Chile;24375;23077.83
Junio;Bovino;Piel Animal;Pieles procesadas;China;48.7;575.85
Junio;Bovino;Piel Animal;Pieles procesadas;Turquia;45514;173821.66
Junio;Bovino;Piel Animal;Pieles Semiprocesadas;Bolivia;49291;47131.02
Junio;Bovino;Piel Animal;Pieles Semiprocesadas;Estados Unidos;250011;484907.06
Junio;Bovino;Piel Animal;Pieles Semiprocesadas;Turquia;82410;29470
Junio;Bovino;Piel Animal;Pieles Terminadas;Italia;8664;222479.5
Junio;Bovino;Piel Animal;Pieles Terminadas;Mexico;10895.5;132749.05
junio;Bovino;Piel Animal;Curtidas o Curadas de Bufalo;India;2268.55;11502.88
Abril;Bovino;Embutidos;Salchichas;Estados Unidos;43840.09;230383.18
Abril;Otro Origen;Embutidos;Embutidos Variados;España;25933.79;159060.83
Abril;Otro Origen;Embutidos;Embutidos Variados;Estados Unidos;648;6106.6
Abril;Otro Origen;Embutidos;Embutidos Variados;Italia;5075.52;77953.87
Abril;Porcino;Embutidos;Chorizo;Estados Unidos;142.86;1092.63
Abril;Porcino;Embutidos;Pancetta;Estados Unidos;62310.42;319915.2
Abril;Porcino;Embutidos;Pepperoni;Estados Unidos;5214;30044.6
Abril;Porcino;Embutidos;Salchichas;Estados Unidos;7945;26539.55
Mayo;Bovino;Embutidos;Salchichas;Estados Unidos;16117.87;118530.86
Mayo;Otro Origen;Embutidos;Embutidos Variados;España;12956.88;81493.71
Mayo;Otro Origen;Embutidos;Embutidos Variados;Estados Unidos;4;4
