Mes;Origen;Clasificación;Mercancia;Pais de Procedencia;Kilos;Valor US$
Junio;Bovino;Cárnico;Paleta;Estados Unidos;74733.82;237496.16
Junio;Bovino;Cárnico;Paticas;España;50000;108750.48
Junio;Bovino;Cárnico;Paticas;Estados Unidos;74138.62;171710.92
junio;Bovino;Cárnico;Torta;Estados Unidos;17093.78;134690.41
Junio;Bovino;Cárnico;Trimming;Brasil;21723.56;86205.2
junio;Bovino;Cárnico;Trimming;Estados Unidos;81002.93;144540.23
junio;Bovino;Cárnico;Tripas Artificiales de Celulosa;Estados Unidos;1190.68;35829.18
junio;Bovino;Cárnico;Tripas Artifificiales Plasticas;Alemania;4705.4;153029.37
junio;Bovino;Cárnico;Tripas Artifificiales Plasticas;Belgica;1950;39762.43
junio;Bovino;Cárnico;Tripas Naturales;Estados Unidos;16025;175087.7
